"Name";"AdmArea";"District";"Address";"FacilityArea";"PeriodOfPlacement";"ContractStatus";"ContractNumber";"NameOfBusinessEntity";"BeginDate";"EndDate";"CertificateNum";"CertificateIssueDate";"PrefectOrderNumber";"PrefectOrderDate";"UNOM";"PlacementAtStationaryObjects";"global_id";"geoData";"geodata_center";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Сокольническая площадь, дом 4, корпус 1-2";"Восточный административный округ";"район Сокольники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Сокольники, Сокольническая площадь, дом 4, корпус 1-2";"12";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"64086";"да";"2716691336";"{coordinates=[37.677932, 55.789953767], type=Point}";"";
"Елочный базар на город Москва, Тимирязевская улица, дом 17А";"Северный административный округ";"Тимирязевский район";"город Москва, Тимирязевская улица, дом 17А";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"25890";"да";"2716691337";"{coordinates=[37.567172194, 55.811844401], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, улица Адмирала Лазарева, дом 23";"Юго-Западный административный округ";"район Южное Бутово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Бутово, улица Адмирала Лазарева, дом 23";"12";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"69458";"да";"2716691338";"{coordinates=[37.53218, 55.545805697], type=Point}";"";
"Елочный базар на город Москва, Шипиловская улица, дом 50, корпус 1";"Южный административный округ";"район Зябликово";"город Москва, Шипиловская улица, дом 50, корпус 1";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2123501";"да";"2716691339";"{coordinates=[37.738129092, 55.621235855], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, улица Головачёва, дом 3, корпус 2";"Юго-Восточный административный округ";"район Люблино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Люблино, улица Головачёва, дом 3, корпус 2";"4.5";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2703309";"да";"2716691340";"{coordinates=[37.805619, 55.675221734], type=Point}";"";
"Елочный базар на город Москва, улица Зои и Александра Космодемьянских, дом 14/10, строение 1";"Северный административный округ";"Войковский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Войковский, улица Зои и Александра Космодемьянских, дом 14/10, строение 1";"25";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"3408110";"да";"2716691341";"{coordinates=[37.512015, 55.820850776], type=Point}";"";
"Елочный базар на город Москва, Ленинский проспект, дом 99";"Юго-Западный административный округ";"Обручевский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Обручевский, Ленинский проспект, дом 99";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"12948";"да";"2716691342";"{coordinates=[37.518748228, 55.668625317], type=Point}";"";
"Елочный базар на город Москва, Керченская улица, дом 1, корпус 1";"Юго-Западный административный округ";"район Зюзино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зюзино, Керченская улица, дом 1, корпус 1";"25";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"9978";"да";"2716691343";"{coordinates=[37.580636718, 55.651920037], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Кантемировская улица, дом 7, корпус 1";"Южный административный округ";"район Царицыно";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Кантемировская улица, дом 7, корпус 1";"15";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2123789";"да";"2716691344";"{coordinates=[37.672880676, 55.635964711], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Пятницкое шоссе, дом 27, корпус 1";"Северо-Западный административный округ";"район Митино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Пятницкое шоссе, дом 27, корпус 1";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"31767";"да";"2716691345";"{coordinates=[37.363520199, 55.849172987], type=Point}";"";
"Елочный базар на город Москва, улица Авиаторов, дом 18";"Западный административный округ";"район Солнцево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Солнцево, улица Авиаторов, дом 18";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"156";"да";"2716691346";"{coordinates=[37.40012, 55.644680725], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Смоленская-Сенная площадь, дом 27, строение 1А";"Центральный административный округ";"район Хамовники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хамовники, Смоленская-Сенная площадь, дом 27, строение 1А";"20";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"23962";"да";"2716691347";"{coordinates=[37.582534, 55.745267], type=Point}";"";
"Елочный базар на город Москва, Малая Филёвская улица, дом 14, корпус 2";"Западный административный округ";"район Фили-Давыдково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Фили-Давыдково, Малая Филёвская улица, дом 14, корпус 2";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"27417";"да";"2716691348";"{coordinates=[37.470264, 55.737579752], type=Point}";"";
"Елочный базар на город Москва, 5-я улица Соколиной Горы, дом 21, корпус 1";"Восточный административный округ";"район Соколиная Гора";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Соколиная Гора, 5-я улица Соколиной Горы, дом 21, корпус 1";"20";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"24153";"да";"2716691349";"{coordinates=[37.738198, 55.764288], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Цветной бульвар, дом 25, строение 1";"Центральный административный округ";"Тверской район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Цветной бульвар, дом 25, строение 1";"10";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"28211";"да";"2716691350";"{coordinates=[37.62092, 55.772774], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 9, корпус 1";"Восточный административный округ";"район Ивановское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ивановское, улица Молостовых, дом 9, корпус 1";"22.5";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"15104";"да";"2716691351";"{coordinates=[37.832952953, 55.758399311], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Ломоносовский, Ленинский проспект, дом 91";"Юго-Западный административный округ";"Ломоносовский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ломоносовский, Ленинский проспект, дом 91";"12";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"12931";"да";"2716691353";"{coordinates=[37.529323481, 55.676342917], type=Point}";"";
"Елочный базар на город Москва, проспект Вернадского, дом 14А";"Западный административный округ";"район Проспект Вернадского";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Проспект Вернадского, проспект Вернадского, дом 14А";"24";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"3101490";"да";"2716691354";"{coordinates=[37.506786, 55.678130735], type=Point}";"";
"Елочный базар на город Москва, Зеленодольская улица, дом 40";"Юго-Восточный административный округ";"район Кузьминки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Зеленодольская улица, дом 40";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2128908";"да";"2716691355";"{coordinates=[37.765755, 55.704110742], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мосфильмовская улица, дом 55";"Западный административный округ";"район Раменки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мосфильмовская улица, дом 55";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"310220";"да";"2716691356";"{coordinates=[37.495143, 55.702855742], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Хорошёвское шоссе, дом 48";"Северный административный округ";"Хорошёвский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошевский, Хорошёвское шоссе, дом 48";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"28094";"да";"2716691358";"{coordinates=[37.534994846, 55.776375612], type=Point}";"";
"Елочный базар на город Москва, Новоясеневский проспект, дом 1Г";"Юго-Западный административный округ";"район Ясенево";"город Москва, Новоясеневский проспект, дом 1Г";"12";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2803769";"да";"2716691359";"{coordinates=[37.509291, 55.618569], type=Point}";"";
"Елочный базар на город Москва, улица Скульптора Мухиной, дом 12";"Западный административный округ";"район Ново-Переделкино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ново-Переделкино, улица Скульптора Мухиной, дом 12";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"31597";"да";"2716691360";"{coordinates=[37.341632619, 55.639439416], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Тверская улица, дом 5/6";"Центральный административный округ";"Тверской район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Тверская улица, дом 5/6";"15";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2117704";"да";"2716691361";"{coordinates=[37.612075386, 55.757683682], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Ховрино, Петрозаводская улица, дом 34";"Северный административный округ";"район Ховрино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ховрино, Петрозаводская улица, дом 34";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2112159";"да";"2716691362";"{coordinates=[37.48914708, 55.867614306], type=Point}";"";
"Елочный базар на город Москва, улица Миклухо-Маклая, дом 37";"Юго-Западный административный округ";"район Коньково";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коньково, улица Миклухо-Маклая, дом 37";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2108194";"да";"2716691363";"{coordinates=[37.521363, 55.645487725], type=Point}";"";
"Елочный базар на город Москва, Осенний бульвар, дом 12, корпус 1";"Западный административный округ";"район Крылатское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крылатское, Осенний бульвар, дом 12, корпус 1";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2126973";"да";"2716691364";"{coordinates=[37.409131202, 55.758704591], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Коптево, Большая Академическая улица, дом 41/1, строение 1";"Северный административный округ";"район Коптево";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Коптево, Большая Академическая улица, дом 41/1, строение 1";"12";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2108676";"да";"2716691365";"{coordinates=[37.53312, 55.83373578], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Зюзино, Болотниковская улица, дом 30";"Юго-Западный административный округ";"район Зюзино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Зюзино, Болотниковская улица, дом 30";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"370015";"да";"2716691366";"{coordinates=[37.595515255, 55.65832494], type=Point}";"";
"Елочный базар на город Москва, 1-я Останкинская улица, дом 53";"Северо-Восточный административный округ";"Останкинский район";"город Москва, 1-я Останкинская улица, дом 53";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2303707";"да";"2716691367";"{coordinates=[37.631378, 55.823885], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, Нагатинская улица, дом 15, корпус 1";"Южный административный округ";"район Нагатино-Садовники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагатино-Садовники, Нагатинская улица, дом 15, корпус 1";"12";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"15519";"да";"2716691368";"{coordinates=[37.642192, 55.679758735], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, улица Панфилова, дом 11";"Зеленоградский административный округ";"район Силино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Силино, город Зеленоград, улица Панфилова, дом 11";"26.1";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"5272050";"да";"2716691369";"{coordinates=[37.174503, 55.982091824], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Бескудниковский, Дмитровское шоссе, дом 80, строение 1";"Северный административный округ";"Бескудниковский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бескудниковский, Дмитровское шоссе, дом 80, строение 1";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2134111";"да";"2716691370";"{coordinates=[37.551242, 55.864144789], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, улица Гришина, дом 9";"Западный административный округ";"Можайский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, улица Гришина, дом 9";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"6067";"да";"2716691371";"{coordinates=[37.417832999, 55.722011], type=Point}";"";
"Елочный базар на город Москва, Новопеределкинская улица, дом 10А";"Западный административный округ";"район Ново-Переделкино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ново-Переделкино, Новопеределкинская улица, дом 10А";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2119564";"да";"2716691372";"{coordinates=[37.367219, 55.640947724], type=Point}";"";
"Елочный базар на город Москва, улица Скульптора Мухиной, дом 4";"Западный административный округ";"район Ново-Переделкино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ново-Переделкино, улица Скульптора Мухиной, дом 4";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2137992";"да";"2716691374";"{coordinates=[37.348650044, 55.643908687], type=Point}";"";
"Елочный базар на город Москва, город Зеленоград, корпус 1446";"Зеленоградский административный округ";"район Крюково";"город Москва, город Зеленоград, корпус 1446";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"3700497";"да";"2716691375";"{coordinates=[37.152177, 55.984611], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, улица Василисы Кожиной, дом 10";"Западный административный округ";"район Филёвский Парк";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Филевский Парк, улица Василисы Кожиной, дом 10";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"10332";"да";"2716691377";"{coordinates=[37.499437, 55.736902752], type=Point}";"";
"Елочный базар на город Москва, Рублёвское шоссе, дом 30, корпус 1";"Западный административный округ";"район Крылатское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крылатское, Рублёвское шоссе, дом 30, корпус 1";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"22099";"да";"2716691378";"{coordinates=[37.420379, 55.747260755], type=Point}";"";
"Елочный базар на город Москва, Осенняя улица, дом 24";"Западный административный округ";"район Крылатское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Крылатское, Осенняя улица, дом 24";"15";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2119361";"да";"2716691379";"{coordinates=[37.407502, 55.766939], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, улица Пржевальского, дом 2";"Западный административный округ";"район Очаково-Матвеевское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, улица Пржевальского, дом 2";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"71283";"да";"2716691380";"{coordinates=[37.45147038, 55.68193933], type=Point}";"";
"Елочный базар на город Москва, Сходненская улица, дом 25";"Северо-Западный административный округ";"район Южное Тушино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Южное Тушино, Сходненская улица, дом 25";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"25373";"да";"2716691381";"{coordinates=[37.438781181, 55.84551403], type=Point}";"";
"Елочный базар на город Москва, Туристская улица, дом 31, корпус 1";"Северо-Западный административный округ";"район Северное Тушино";"город Москва, Туристская улица, дом 31, корпус 1";"28";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"26397";"да";"2716691382";"{coordinates=[37.419879, 55.85727], type=Point}";"";
"Елочный базар на город Москва, Лесная улица, дом 20, строение 3";"Центральный административный округ";"Тверской район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Тверской, Лесная улица, дом 20, строение 3";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2111246";"да";"2716691383";"{coordinates=[37.592962, 55.780202764], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Ново-Переделкино, Боровское шоссе, дом 46";"Западный административный округ";"район Ново-Переделкино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ново-Переделкино, Боровское шоссе, дом 46";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"31453";"да";"2716691384";"{coordinates=[37.348138, 55.636098], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, бульвар Генерала Карбышева, дом 14";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Хорошево-Мневники, бульвар Генерала Карбышева, дом 14";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"73762";"да";"2716691385";"{coordinates=[37.471439, 55.780125764], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, улица Можайский Вал, дом 10";"Западный административный округ";"район Дорогомилово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Дорогомилово, улица Можайский Вал, дом 10";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2127687";"да";"2716691386";"{coordinates=[37.554148533, 55.742540217], type=Point}";"";
"Елочный базар на город Москва, Ангелов переулок, дом 7";"Северо-Западный административный округ";"район Митино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Митино, Ангелов переулок, дом 7";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"51675";"да";"2716691387";"{coordinates=[37.347727433, 55.851535499], type=Point}";"";
"Елочный базар на город Москва, Волгоградский проспект, дом 132, корпус 2";"Юго-Восточный административный округ";"Южнопортовый район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Кузьминки, Волгоградский проспект, дом 132, корпус 2";"12";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"4441";"да";"2716691389";"{coordinates=[37.68427, 55.704320742], type=Point}";"";
"Елочный базар на город Москва, Можайское шоссе, дом 32";"Западный административный округ";"Можайский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Можайское шоссе, дом 32";"4";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"14910";"да";"2716691390";"{coordinates=[37.419037, 55.71962], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Можайское шоссе, дом 31, корпус 1";"Западный административный округ";"Можайский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Можайский, Можайское шоссе, дом 31, корпус 1";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"14909";"да";"2716691391";"{coordinates=[37.420433718, 55.718420791], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Западное, Булатниковская улица, дом 1, корпус 1А";"Южный административный округ";"район Бирюлёво Западное";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Бирюлево Западное, Булатниковская улица, дом 1, корпус 1А";"15";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2945";"да";"2716691392";"{coordinates=[37.658095, 55.579182], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, Братиславская улица, дом 27, корпус 1";"Юго-Восточный административный округ";"район Марьино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, Братиславская улица, дом 27, корпус 1";"12";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"67558";"да";"2716691393";"{coordinates=[37.76613, 55.654181728], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, 11-я Парковая улица, дом 29";"Восточный административный округ";"район Измайлово";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Измайлово, 11-я Парковая улица, дом 29";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"18796";"да";"2716691394";"{coordinates=[37.804903, 55.79756977], type=Point}";"";
"Елочный базар на город Москва, улица Героев Панфиловцев, дом 7";"Северо-Западный административный округ";"район Северное Тушино";"город Москва, улица Героев Панфиловцев, дом 7";"10";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2113807";"да";"2716691395";"{coordinates=[37.432725, 55.857294], type=Point}";"";
"Елочный базар на город Москва, Мичуринский проспект, дом 44А";"Западный административный округ";"район Раменки";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Раменки, Мичуринский проспект, дом 44А";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2116820";"да";"2716691396";"{coordinates=[37.491867, 55.69464274], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Озёрная улица, дом 29";"Западный административный округ";"район Очаково-Матвеевское";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Очаково-Матвеевское, Озёрная улица, дом 29";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2117363";"да";"2716691397";"{coordinates=[37.451244808, 55.672993216], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, проспект Мира, дом 49";"Центральный административный округ";"Мещанский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Мещанский, проспект Мира, дом 49";"15";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"14475";"да";"2716691398";"{coordinates=[37.634159, 55.783527], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Чонгарский бульвар, дом 19";"Южный административный округ";"Нагорный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Нагорный, Чонгарский бульвар, дом 19";"10";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2131653";"да";"2716691399";"{coordinates=[37.60673395, 55.652843827], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Ломоносовский, Ленинский проспект, дом 82/2";"Юго-Западный административный округ";"Ломоносовский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ломоносовский, Ленинский проспект, дом 82/2";"12";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"12912";"да";"2716691400";"{coordinates=[37.534334, 55.68114], type=Point}";"";
"Елочный базар на город Москва, Новочеркасский бульвар, дом 57, корпус 1";"Юго-Восточный административный округ";"район Марьино";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Марьино, Новочеркасский бульвар, дом 57, корпус 1";"30";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2704765";"да";"2716691401";"{coordinates=[37.741878, 55.647883726], type=Point}";"";
"Елочный базар на город Москва, Ярославское шоссе, дом 54";"Северо-Восточный административный округ";"Ярославский район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Ярославский, Ярославское шоссе, дом 54";"15";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"2303953";"да";"2716691403";"{coordinates=[37.70433, 55.865963], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Пролетарский проспект, дом 33, корпус 1";"Южный административный округ";"район Царицыно";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Царицыно, Пролетарский проспект, дом 33, корпус 1";"12";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"20879";"да";"2716691404";"{coordinates=[37.659234, 55.634108722], type=Point}";"";
"Елочный базар на Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Земляной Вал, дом 34, строение 4";"Центральный административный округ";"Басманный район";"Российская Федерация, город Москва, внутригородская территория муниципальный округ Басманный, улица Земляной Вал, дом 34, строение 4";"27";"с 20 декабря по 31 декабря";"";"";"";"20.12.2024";"31.12.2024";"";"";"";"";"29064";"да";"2716691405";"{coordinates=[37.656323, 55.756229757], type=Point}";"";
